com,com_label,diocese,diocese_label,nation,nation_label,level,statistic,category,units,count,proportion
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_45_years,persons,9181,0.011958989562424206
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_46_years,persons,9159,0.011930332796236063
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_47_years,persons,9621,0.012532124886187048
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_48_years,persons,9861,0.012844744153694052
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_49_years,persons,9940,0.012947647995915109
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_4_years,persons,9274,0.01208012952858317
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_50_years,persons,10291,0.013404853674644102
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_51_years,persons,10010,0.013038828615604651
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_52_years,persons,10290,0.013403551094362823
newry,Newry,down-dromore,Down and Dromore,northern-ireland,Northern-Ireland,diocese,age-single-year,age_53_years,persons,10701,0.013938911589968569
